region,abbreviation,genus,species,sub.spp,common.name,source,functional.group,reproduction,conservation.status
Carrizo,,,grasshopper,,,,,,
Carrizo,,,leafhopper,,,,,,
Carrizo,,,fly,,,,,,
Carrizo,,,ladybug,,,,,,
Carrizo,,,spider,,,,,,
Carrizo,,,darkling beetle,,,,,,
Carrizo,,,ants,,,,,,
Carrizo,,,springtail,,,,,,
Carrizo,,,praying mantis,,,,,,
Carrizo,,,hoverfly,,,,,,
Carrizo,,,small beetle,,,,,,
Carrizo,,,bumble beetle,,,,,,
Carrizo,,,moth,,,,,,
Carrizo,,,tarantula hawk,,,,,,
Carrizo,,,katydid,,,,,,
Carrizo,,,crane fly,,,,,,
Carrizo,,,fly,,,,,,
Carrizo,,,spider ,,,,,,
Carrizo,,,ant,,,,,,
Carrizo,,,small beetle,,,,,,
Carrizo,,,medium beetle,,,,,,
Carrizo,,,large beetle,,,,,,
Carrizo,,,springtail,,,,,,
Carrizo,,,bee,,,,,,
Carrizo,,,cricket,,,,,,
Carrizo,,,hoverfly,,,,,,
Carrizo,,,darkling beetle,,,,,,
Carrizo,,,moth,,,,,,
Carrizo,,,wasp,,,,,,
