region,abbreviation,genus,species,sub.spp,common.name,source,functional.group,reproduction,conservation.status
Mojave,acsp,acamptopappus ,sphaerocephalus,,rayless goldenhead,native,woody,perennial,
Carrizo,acgl,acmispon,glaber,,deerweed,native,herb,perennial,
San Joaquin,acus,acmispon,wrangelianus,,Chilean bird's-foot trefoilξ,native,herb,annual,native
Carrizo,ag,agoseris,,,dandelion,native,herb,annual,
Mojave,amdu,ambrosia,dumosa,,burrobush,native,woody,perennial,
Mojave,amsa,ambrosia ,salsola,,cheesebush,native,woody,perennial,
San Joaquin,amgr,amsinckia,grandiflora,,common fiddleneck,native,herb,annual,native
San Joaquin to Mojave,amte,amsinckia ,tesselata,,bristly fiddleneck,native,herb,annual,native
Mojave,arad,aristida,adscensionis,,sixweeks treeawn,native,grass,annual,
San Joaquin,asus,astragalus,lentiginosus,,spotted locoweed,native,herb,perennial,exotic
San Joaquin,brra,brassica,nigra,,black mustard,exotic,herb,annual,exotic
San Joaquin to Mojave,brma,bromus,madritensis,rubens,red brome,exotic,grass,annual,exotic
San Joaquin,brus,bromus,diandrus,,ripgut brome,exotic,grass,annual,exotic
San Joaquin,camo,calyptridium,monandrum,,sand cress,native,herb,annual,
Carrizo,caca,camissonia,campestris,campestrs,mojave suncup,native,herb,annual,
Mojave,caes,camissonia,brevipes,,yellow cups,native,herb,annual,native
Mojave,cais,camissonia,claviformis,,brown-eyed primrose,native,herb,annual,native
Mojave,caia,camissoniopsis,cheiranthifolia,suffruticosa,beach suncup,native,herb,annual,native
Mojave,capa,camissoniopsis ,pallida,,pale primrose,native,herb,annual,native
San Joaquin,caex,castilleja,exserta,,owls clover,native,herb,annual,hemiparasitic
San Joaquin to Mojave,caus,caulanthus,lasiophyllus,,California mustard,native,herb,annual,native
San Joaquin,caco,caulanthus,coulteri,lemmonii,lemmon jewel-flower,native,herb,annual,
Mojave,chfr,chaenactis,fremontii,,Fremont's pincushion,native,herb,annual,native
Carrizo,chbr,chorizanthe,brevicornu,,brittle spineflower,native,herb,annual,
Mojave,chda,chorizanthe,rigida,,Devil's spineflower,native,herb,annual,native
San Joaquin to Mojave,crra,cryptantha,barbigera,,bearded cryptantha,native,herb,annual,native
Mojave,cria,cryptantha,intermedia,,common cryptantha,native,herb,annual,native
Mojave,cyec,cylindropuntia,echinocarpa,,silver cholla,native,cactus,perennial,native
Mojave,cyra,cylindropuntia,ramosissima,,pencil cholla,native,cactus,perennial,
Mojave,cyac,cylindropuntia ,acanthacarpa,,buckhorn cholla,native,cactus,perennial,
Mojave,dawr,datura,wrightii,,sacred datura,native,herb,perennial,
PanocheHills,deke,deinandra,kelloggii,,tarweed,native,herb,annual,
Cuyama,dere,delphinium,recurvatum,,recurved larkspur,native,herb,perennial,
San Joaquin,dium,dichelostemma,capitatum,,blue dicks,native,herb ,perennial,
Mojave,dica,dieteria ,canescens,,hoary aster,native,herb,perennial,native
Mojave,dusa,dudleya,saxosa,,desert live forever,native,herb,perennial,
Mojave,ecen,echinocereus ,engelmannii,,hedge-hog cactus,native,cactus,perennial,
Carrizo,empu,emmenanthe,penduliflora,penduliflora,whispering bells,native,herb,annual,
Mojave,enfa,encelia ,farinosa,,brittlebush,native,woody,perennial,
San Joaquin to Mojave,epca,ephedra,californica,,mormon tea,native,woody,perennial,
Mojave,erex,eremalche exilis,,,white mallow,native,herb,annual,
Carrizo,erde,eriastrum,densifolium,,giant eraistrum,native,herb,perennial,
Mojave,erer,Eriastrum,eremicum,,desert woolystar,native,herb,annual,
Mojave,erco,ericameria ,cooperia,,coopers goldenbush,native,woody,perennial,
Mojave,erli,ericameria ,linearafolia,,interior goldenbush,native,woody,perennial,
San Joaquin to Mojave,erpp,erinoginum,,,buckwheat,native,herb,,
Mojave,erfa,eriogonum ,fasciculatum,fasciculatum,calfornia buckwheat,native,woody,perennial,native
Mojave,erin,eriogonum ,inflatum,,desert trumpet,native,herb,perennial,native
Mojave,erei,eriophyllum,wallacei,,woolly daisy,native,herb,annual,
Mojave,erwa,eriophyllum ,wallacei,,wallace's wooly daisy,native,herb,annual,
San Joaquin to Mojave,erci,erodium,cicutarium,,filaree,exotic,herb,annual,exotic
San Joaquin to Mojave,esma,eschscholzia,glyptosperma,,desert poppy,native,herb,annual,native
Mojave,es,eschscholzia,,,poppy,native,herb,annual,
Carrizo,eupo,eucalyptus,polyanthemos,,silver dollar gum,exotic,woody,perennial,
Mojave,gi,gilia sp.,,,gilia,native,herb,annual,
San Joaquin to Mojave,hovu,hordeum,vulgare,,barley,exotic,grass,annual,exotic
Carrizo,homu,hordeum,murinum,,foxtail,exotic,grass,annual,
Mojave,krer,krameria ,erecta,,Littleleaf Ratany,native,woody,perennial,
